,state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
1221,new hampshire,2015,1.87,0.88,1.95,4.7,443.25925925925935,174.6356589147287,404.8661800486618,1002.6666666666667
339,district of columbia,2015,1.14,1.02,1.6700000000000002,3.82,270.22222222222223,202.4186046511628,346.7315490673156,814.9333333333333
297,delaware,2015,1.1900000000000002,0.72,1.75,3.66,282.07407407407413,142.88372093023253,363.34144363341437,780.8000000000002
1179,nevada,2015,1.39,0.6599999999999999,1.3,3.35,329.4814814814815,130.97674418604652,269.91078669910786,714.6666666666665
1431,north dakota,2015,1.58,0.35,1.33,3.26,374.51851851851853,69.45736434108527,276.139497161395,695.4666666666667
1095,montana,2015,1.63,0.5,0.96,3.09,386.3703703703704,99.22480620155036,199.31873479318736,659.2
1893,vermont,2015,1.57,0.7799999999999999,0.73,3.08,372.1481481481482,154.7906976744186,151.56528791565287,657.0666666666667
2061,wisconsin,2015,1.39,0.39,1.2,2.98,329.4814814814815,77.3953488372093,249.1484184914842,635.7333333333332
507,idaho,2015,0.94,1.14,0.7899999999999999,2.87,222.8148148148148,226.2325581395349,164.0227088402271,612.2666666666668
45,alaska,2015,1.11,0.53,1.2,2.84,263.11111111111114,105.1782945736434,249.1484184914842,605.8666666666667
1725,south dakota,2015,1.49,0.29000000000000004,1.03,2.81,353.18518518518516,57.55038759689922,213.85239253852401,599.4666666666667
801,maine,2015,1.37,0.44,0.97,2.78,324.7407407407408,87.31782945736435,201.3949716139497,593.0666666666667
213,colorado,2015,1.12,0.51,1.14,2.77,265.4814814814815,101.2093023255814,236.69099756691003,590.9333333333334
2103,wyoming,2015,1.25,0.31,1.1800000000000002,2.74,296.2962962962963,61.51937984496124,244.9959448499595,584.5333333333333
969,minnesota,2015,1.16,0.4300000000000001,1.14,2.73,274.962962962963,85.33333333333334,236.69099756691003,582.4
1557,oregon,2015,1.23,0.58,0.9,2.71,291.5555555555556,115.10077519379844,186.86131386861317,578.1333333333333
381,florida,2015,1.11,0.51,0.98,2.61,263.11111111111114,101.2093023255814,203.4712084347121,556.8
465,hawaii,2015,1.28,0.56,0.77,2.61,303.40740740740745,111.13178294573645,159.87023519870237,556.8
759,louisiana,2015,1.27,0.33,0.98,2.59,301.03703703703707,65.48837209302324,203.4712084347121,552.5333333333333
1053,missouri,2015,1.1700000000000002,0.39,0.97,2.53,277.33333333333337,77.3953488372093,201.3949716139497,539.7333333333332
1641,rhode island,2015,0.96,0.5700000000000001,0.99,2.52,227.55555555555557,113.11627906976746,205.54744525547449,537.6
885,massachusetts,2015,0.96,0.65,0.91,2.52,227.55555555555557,128.9922480620155,188.93755068937548,537.6
